Date,PR,GHI
2020-07-28,73.53916359,4.672008333
2020-07-29,84.27499891,5.826408333
2020-07-30,76.33637825,5.928366667
2020-07-31,81.89387409,2.833108333
2020-08-01,60.48325108,4.023816667
2020-08-02,75.23499646,3.128775
2020-08-03,68.36815611,3.270375
2020-08-04,66.82187004,3.911008333
2020-08-05,78.12217834,4.348208333
2020-08-06,83.73038692,4.216683333
2020-08-07,83.80450831,4.42375
2020-08-08,67.59783611,4.228008333
2020-08-09,66.90940439,3.826891667
2020-08-10,70.68643663,4.77865
2020-08-11,80.91626741,5.032291667
2020-08-12,63.18027054,2.374025
2020-08-13,70.54251848,3.296125
2020-08-14,62.43740341,5.338333333
2020-08-15,68.05950151,6.542925
2020-08-16,64.51231562,6.588108333
2020-08-17,83.38144698,5.805491667
2020-08-18,83.27885928,4.6093
2020-08-19,70.80370196,4.504258333
2020-08-20,72.01206975,4.920458333
2020-08-21,60.02388617,5.852966667
2020-08-22,65.39352233,5.7299
2020-08-23,81.24745954,5.770433333
2020-08-24,82.81310078,6.372925
2020-08-25,67.76977824,6.375016667
2020-08-26,63.01606436,5.904958333
2020-08-27,73.65052644,6.356391667
2020-08-28,81.09543452,6.098608333
2020-08-29,64.68213301,6.4524
2020-08-30,76.03943489,4.734875
2020-08-31,82.64278301,6.173716667
2020-09-01,77.2688698,3.607716667
2020-09-02,80.25530527,5.848
2020-09-03,79.11494783,5.022025
2020-09-04,64.27829856,6.7933
2020-09-05,79.50033226,5.315975
2020-09-06,75.98413614,5.303933333
2020-09-07,65.23346652,6.947316667
2020-09-08,83.00012978,5.245983333
2020-09-09,70.81294717,3.982816667
2020-09-10,65.33308202,4.208775
2020-09-11,74.15784385,6.204075
2020-09-12,63.67723912,4.825333333
2020-09-13,77.09746893,3.430558333
2020-09-14,66.50726911,3.86695
2020-09-15,62.09406595,5.83625
2020-09-16,66.69350044,5.193391667
2020-09-17,65.98626146,4.751516667
2020-09-18,65.81474179,3.082125
2020-09-19,71.86334764,1.961641667
2020-09-20,76.09235854,5.438716667
2020-09-21,70.73095945,5.726066667
2020-09-22,72.61577295,5.455016667
2020-09-23,77.03613837,5.434108333
2020-09-24,80.76889776,6.261908333
2020-09-25,80.78640954,3.901775
2020-09-26,71.77520677,3.824825
2020-09-27,70.39030075,3.45985
2020-09-28,60.58774693,3.970241667
2020-09-29,62.84506203,4.564616667
2020-09-30,83.18899003,5.392108333
2020-10-01,62.73674669,4.0125
2020-10-02,73.71892061,2.411141667
2020-10-03,72.4401401,5.345891667
2020-10-04,76.93894479,4.904075
2020-10-05,60.24167536,3.05
2020-10-06,80.87436482,3.399941667
2020-10-07,84.47100223,1.767241667
2020-10-08,84.98011969,4.223466667
2020-10-09,63.67023399,1.825283333
2020-10-10,80.63019308,2.645533333
2020-10-11,75.48120255,2.573858333
2020-10-12,74.21314908,4.169058333
2020-10-13,84.9617997,4.326308333
2020-10-14,67.80043625,2.54325
2020-10-15,69.25622925,2.999
2020-10-16,70.50378529,2.124833333
2020-10-17,69.40774697,2.839691667
2020-10-18,74.01298316,2.898758333
2020-10-19,70.06526772,4.856016667
2020-10-20,63.29134117,4.438566667
2020-10-21,83.25306691,3.001575
2020-10-22,82.907448,5.948458333
2020-10-23,60.71307876,5.029258333
2020-10-24,62.309339,5.099741667
2020-10-25,77.38291574,2.715316667
2020-10-26,78.27408102,5.14175
2020-10-27,69.67418695,3.935491667
2020-10-28,80.49438618,2.206325
2020-10-29,84.92437313,3.794083333
2020-10-30,81.17184293,4.33635
2020-10-31,77.81053225,3.985316667
2020-11-01,66.21683521,4.631875
2020-11-02,82.55276598,3.199641667
2020-11-03,84.68920224,5.397516667
2020-11-04,75.06431608,3.881266667
2020-11-05,74.90404968,5.158883333
2020-11-06,62.56887417,2.401275
2020-11-07,70.66678186,4.188108333
2020-11-08,62.12552221,4.948775
2020-11-09,75.87799173,3.40385
2020-11-10,70.46339039,3.473483333
2020-11-11,81.40364062,3.210316667
2020-11-12,60.88355471,4.436241667
2020-11-13,69.39930931,4.856416667
2020-11-14,73.55679318,5.4906
2020-11-15,84.10658453,4.450458333
2020-11-16,74.71188286,4.598091667
2020-11-17,64.97284081,5.437575
2020-11-18,69.81664739,3.887516667
2020-11-19,62.28045255,3.99265
2020-11-20,79.63375104,4.206191667
2020-11-21,64.55297305,3.515766667
2020-11-22,61.82516432,4.502883333
2020-11-23,62.58018588,3.430041667
2020-11-24,61.50498092,4.42425
2020-11-25,80.42356437,4.824158333
2020-11-26,62.05539273,4.384575
2020-11-27,80.88446781,4.1413
2020-11-28,75.32861428,4.05465
2020-11-29,63.04094468,2.462508333
2020-11-30,62.19627712,3.986191667
2020-12-01,68.55667082,3.422875
2020-12-02,66.13656954,4.100191667
2020-12-03,76.05161584,5.60325
2020-12-04,72.24697723,5.626008333
2020-12-05,77.03525004,5.074833333
2020-12-06,70.84967242,5.420141667
2020-12-07,82.58404325,3.066733333
2020-12-08,79.51818541,4.480466667
2020-12-09,74.40351479,3.3859
2020-12-10,81.67746184,3.428716667
2020-12-11,75.57106335,2.8102
2020-12-12,82.09009491,3.284166667
2020-12-13,75.25616007,2.810166667
2020-12-14,71.20318243,4.296166667
2020-12-15,67.29291394,4.15135
2020-12-16,79.91800065,4.663783333
2020-12-17,80.04062009,4.445075
2020-12-18,76.00328045,3.599541667
2020-12-19,78.98540616,3.687291667
2020-12-20,77.73573139,3.353266667
2020-12-21,72.06306798,4.921075
2020-12-22,64.03572444,2.876825
2020-12-23,82.28081061,3.4587
2020-12-24,83.62682548,4.203441667
2020-12-25,62.18401975,4.012741667
2020-12-26,80.77043024,4.949166667
2020-12-27,66.81759374,4.482958333
2020-12-28,60.11023343,4.528641667
2020-12-29,64.9488999,4.800583333
2020-12-30,77.60357917,2.427341667
